season,manager,club
2000,Jürgen Klopp,Liverpool FC
2000,Mark Robins,Coventry City
2000,Mikel Arteta,Arsenal FC
2000,David Moyes,West Ham United
2000,Eddie Howe,Newcastle United
2000,Erik ten Hag,Manchester United
2000,Paul Warne,Derby County
2000,Michael Carrick,Middlesbrough FC
2000,Unai Emery,Aston Villa
2000,Sean Dyche,Everton FC
2000,Mauricio Pochettino,Chelsea FC
2000,Enzo Maresca,Leicester City
2000,Valérien Ismaël,Watford FC
2000,Ange Postecoglou,Tottenham Hotspur
2000,Russell Martin,Southampton FC
2000,Daniel Farke,Leeds United
2000,Danny Röhl,Sheffield Wednesday
2000,Graham Alexander,Bradford City
2000,Mike Dodds,Sunderland AFC
2001,Jürgen Klopp,Liverpool FC
2001,Pep Guardiola,Manchester City
2001,Mark Robins,Coventry City
2001,Mikel Arteta,Arsenal FC
2001,David Moyes,West Ham United
2001,Eddie Howe,Newcastle United
2001,Kieran McKenna,Ipswich Town
2001,Erik ten Hag,Manchester United
2001,Paul Warne,Derby County
2001,Michael Carrick,Middlesbrough FC
2001,Unai Emery,Aston Villa
2001,Sean Dyche,Everton FC
2001,Mauricio Pochettino,Chelsea FC
2001,Enzo Maresca,Leicester City
2001,Ange Postecoglou,Tottenham Hotspur
2001,Russell Martin,Southampton FC
2001,Daniel Farke,Leeds United
2001,Michael Appleton,Charlton Athletic
2001,Graham Alexander,Bradford City
2001,Mike Dodds,Sunderland AFC
2002,Jürgen Klopp,Liverpool FC
2002,Mikel Arteta,Arsenal FC
2002,David Moyes,West Ham United
2002,Ian Evatt,Bolton Wanderers
2002,Marco Silva,Fulham FC
2002,Eddie Howe,Newcastle United
2002,Kieran McKenna,Ipswich Town
2002,Jon Dahl Tomasson,Blackburn Rovers
2002,Erik ten Hag,Manchester United
2002,Paul Warne,Derby County
2002,Michael Carrick,Middlesbrough FC
2002,Unai Emery,Aston Villa
2002,Sean Dyche,Everton FC
2002,Ange Postecoglou,Tottenham Hotspur
2002,Russell Martin,Southampton FC
2002,Mauricio Pochettino,Chelsea FC
2002,Enzo Maresca,Leicester City
2002,Daniel Farke,Leeds United
2002,Michael Appleton,Charlton Athletic
2002,Mike Dodds,Sunderland AFC
2003,Jürgen Klopp,Liverpool FC
2003,Pep Guardiola,Manchester City
2003,Mikel Arteta,Arsenal FC
2003,David Moyes,West Ham United
2003,Ian Evatt,Bolton Wanderers
2003,Marco Silva,Fulham FC
2003,Eddie Howe,Newcastle United
2003,Jon Dahl Tomasson,Blackburn Rovers
2003,Erik ten Hag,Manchester United
2003,Michael Carrick,Middlesbrough FC
2003,Carlos Corberán,West Bromwich Albion
2003,Unai Emery,Aston Villa
2003,Sean Dyche,Everton FC
2003,Mauricio Pochettino,Chelsea FC
2003,Ange Postecoglou,Tottenham Hotspur
2003,Russell Martin,Southampton FC
2003,Daniel Farke,Leeds United
2003,Michael Appleton,Charlton Athletic
2003,Wayne Rooney,Birmingham City
2003,Mike Dodds,Sunderland AFC
2004,Jürgen Klopp,Liverpool FC
2004,Pep Guardiola,Manchester City
2004,Mikel Arteta,Arsenal FC
2004,Ian Evatt,Bolton Wanderers
2004,Marco Silva,Fulham FC
2004,Eddie Howe,Newcastle United
2004,Jon Dahl Tomasson,Blackburn Rovers
2004,Erik ten Hag,Manchester United
2004,Michael Carrick,Middlesbrough FC
2004,Unai Emery,Aston Villa
2004,John Mousinho,Portsmouth FC
2004,Sean Dyche,Everton FC
2004,Russell Martin,Southampton FC
2004,Ange Postecoglou,Tottenham Hotspur
2004,Enzo Maresca,Leicester City
2004,Mauricio Pochettino,Chelsea FC
2004,Daniel Farke,Leeds United
2004,Gary O'Neil,Wolverhampton Wanderers
2004,Michael Appleton,Charlton Athletic
2004,Wayne Rooney,Birmingham City
2005,Jürgen Klopp,Liverpool FC
2005,Pep Guardiola,Manchester City
2005,Mikel Arteta,Arsenal FC
2005,Ian Evatt,Bolton Wanderers
2005,Marco Silva,Fulham FC
2005,Eddie Howe,Newcastle United
2005,Jon Dahl Tomasson,Blackburn Rovers
2005,Erik ten Hag,Manchester United
2005,Michael Carrick,Middlesbrough FC
2005,Carlos Corberán,West Bromwich Albion
2005,Unai Emery,Aston Villa
2005,David Wagner,Norwich City
2005,John Mousinho,Portsmouth FC
2005,Sean Dyche,Everton FC
2005,Roy Hodgson,Crystal Palace
2005,Russell Martin,Southampton FC
2005,Ange Postecoglou,Tottenham Hotspur
2005,Mauricio Pochettino,Chelsea FC
2005,Michael Appleton,Charlton Athletic
2005,Wayne Rooney,Birmingham City
2006,Jürgen Klopp,Liverpool FC
2006,Pep Guardiola,Manchester City
2006,Mikel Arteta,Arsenal FC
2006,David Moyes,West Ham United
2006,Ian Evatt,Bolton Wanderers
2006,Marco Silva,Fulham FC
2006,Eddie Howe,Newcastle United
2006,Erik ten Hag,Manchester United
2006,Jon Dahl Tomasson,Blackburn Rovers
2006,Carlos Corberán,West Bromwich Albion
2006,Michael Carrick,Middlesbrough FC
2006,Unai Emery,Aston Villa
2006,John Mousinho,Portsmouth FC
2006,Shaun Maloney,Wigan Athletic
2006,Sean Dyche,Everton FC
2006,Ange Postecoglou,Tottenham Hotspur
2006,Mauricio Pochettino,Chelsea FC
2006,Michael Appleton,Charlton Athletic
2006,Wayne Rooney,Birmingham City
2006,Mike Dodds,Sunderland AFC
2007,Jürgen Klopp,Liverpool FC
2007,Pep Guardiola,Manchester City
2007,Mikel Arteta,Arsenal FC
2007,David Moyes,West Ham United
2007,Ian Evatt,Bolton Wanderers
2007,Marco Silva,Fulham FC
2007,Eddie Howe,Newcastle United
2007,Jon Dahl Tomasson,Blackburn Rovers
2007,Erik ten Hag,Manchester United
2007,Michael Carrick,Middlesbrough FC
2007,Unai Emery,Aston Villa
2007,John Mousinho,Portsmouth FC
2007,Shaun Maloney,Wigan Athletic
2007,Sean Dyche,Everton FC
2007,Mauricio Pochettino,Chelsea FC
2007,Rubén Sellés,Reading FC
2007,Valérien Ismaël,Watford FC
2007,Ange Postecoglou,Tottenham Hotspur
2007,Michael Appleton,Charlton Athletic
2007,Chris Wilder,Sheffield United
2008,Jürgen Klopp,Liverpool FC
2008,Pep Guardiola,Manchester City
2008,Mikel Arteta,Arsenal FC
2008,David Moyes,West Ham United
2008,Ian Evatt,Bolton Wanderers
2008,Marco Silva,Fulham FC
2008,Eddie Howe,Newcastle United
2008,Jon Dahl Tomasson,Blackburn Rovers
2008,Erik ten Hag,Manchester United
2008,Paul Warne,Derby County
2008,Michael Carrick,Middlesbrough FC
2008,Unai Emery,Aston Villa
2008,John Mousinho,Portsmouth FC
2008,Shaun Maloney,Wigan Athletic
2008,Sean Dyche,Everton FC
2008,Rubén Sellés,Reading FC
2008,Ange Postecoglou,Tottenham Hotspur
2008,Mauricio Pochettino,Chelsea FC
2008,Wayne Rooney,Birmingham City
2008,Mike Dodds,Sunderland AFC
2009,Jürgen Klopp,Liverpool FC
2009,Pep Guardiola,Manchester City
2009,Mikel Arteta,Arsenal FC
2009,David Moyes,West Ham United
2009,Ian Evatt,Bolton Wanderers
2009,Marco Silva,Fulham FC
2009,Eddie Howe,Newcastle United
2009,Erik ten Hag,Manchester United
2009,Jon Dahl Tomasson,Blackburn Rovers
2009,Alex Neil,Stoke City
2009,Carlos Corberán,West Bromwich Albion
2009,Michael Carrick,Middlesbrough FC
2009,Unai Emery,Aston Villa
2009,Liam Rosenior,Hull City
2009,John Mousinho,Portsmouth FC
2009,Shaun Maloney,Wigan Athletic
2009,Sean Dyche,Everton FC
2009,Mauricio Pochettino,Chelsea FC
2009,Ange Postecoglou,Tottenham Hotspur
2009,Mike Dodds,Sunderland AFC
2010,Jürgen Klopp,Liverpool FC
2010,Pep Guardiola,Manchester City
2010,Mikel Arteta,Arsenal FC
2010,David Moyes,West Ham United
2010,Ian Evatt,Bolton Wanderers
2010,Marco Silva,Fulham FC
2010,Jon Dahl Tomasson,Blackburn Rovers
2010,Erik ten Hag,Manchester United
2010,Vincent Kompany,Burnley FC
2010,Alex Neil,Stoke City
2010,Unai Emery,Aston Villa
2010,Liam Rosenior,Hull City
2010,John Mousinho,Portsmouth FC
2010,Shaun Maloney,Wigan Athletic
2010,Sean Dyche,Everton FC
2010,Mauricio Pochettino,Chelsea FC
2010,Ange Postecoglou,Tottenham Hotspur
2010,Gary O'Neil,Wolverhampton Wanderers
2010,Wayne Rooney,Birmingham City
2010,Mike Dodds,Sunderland AFC
2011,Jürgen Klopp,Liverpool FC
2011,Pep Guardiola,Manchester City
2011,Mikel Arteta,Arsenal FC
2011,David Moyes,West Ham United
2011,Ian Evatt,Bolton Wanderers
2011,Marco Silva,Fulham FC
2011,Eddie Howe,Newcastle United
2011,Erik ten Hag,Manchester United
2011,Jon Dahl Tomasson,Blackburn Rovers
2011,Alex Neil,Stoke City
2011,Carlos Corberán,West Bromwich Albion
2011,Unai Emery,Aston Villa
2011,Shaun Maloney,Wigan Athletic
2011,Sean Dyche,Everton FC
2011,Neil Critchley,Blackpool FC
2011,Ange Postecoglou,Tottenham Hotspur
2011,Mauricio Pochettino,Chelsea FC
2011,Gary O'Neil,Wolverhampton Wanderers
2011,Wayne Rooney,Birmingham City
2011,Mike Dodds,Sunderland AFC
2012,Jürgen Klopp,Liverpool FC
2012,Pep Guardiola,Manchester City
2012,Mikel Arteta,Arsenal FC
2012,Ian Evatt,Bolton Wanderers
2012,Marco Silva,Fulham FC
2012,Eddie Howe,Newcastle United
2012,Erik ten Hag,Manchester United
2012,Jon Dahl Tomasson,Blackburn Rovers
2012,Alex Neil,Stoke City
2012,Carlos Corberán,West Bromwich Albion
2012,Unai Emery,Aston Villa
2012,David Wagner,Norwich City
2012,Shaun Maloney,Wigan Athletic
2012,Sean Dyche,Everton FC
2012,Mauricio Pochettino,Chelsea FC
2012,Ange Postecoglou,Tottenham Hotspur
2012,Gary O'Neil,Wolverhampton Wanderers
2012,Martí Cifuentes,Queens Park Rangers
2012,Alan Sheehan,Swansea City
2012,Mike Dodds,Sunderland AFC
2013,Jürgen Klopp,Liverpool FC
2013,Pep Guardiola,Manchester City
2013,Mikel Arteta,Arsenal FC
2013,David Moyes,West Ham United
2013,Marco Silva,Fulham FC
2013,Eddie Howe,Newcastle United
2013,Erik ten Hag,Manchester United
2013,Alex Neil,Stoke City
2013,Carlos Corberán,West Bromwich Albion
2013,Unai Emery,Aston Villa
2013,David Wagner,Norwich City
2013,Shaun Maloney,Wigan Athletic
2013,Sean Dyche,Everton FC
2013,Mauricio Pochettino,Chelsea FC
2013,Rubén Sellés,Reading FC
2013,Ange Postecoglou,Tottenham Hotspur
2013,Russell Martin,Southampton FC
2013,Martí Cifuentes,Queens Park Rangers
2013,Alan Sheehan,Swansea City
2013,Mike Dodds,Sunderland AFC
2014,Jürgen Klopp,Liverpool FC
2014,Pep Guardiola,Manchester City
2014,Mikel Arteta,Arsenal FC
2014,David Moyes,West Ham United
2014,Marco Silva,Fulham FC
2014,Eddie Howe,Newcastle United
2014,Erik ten Hag,Manchester United
2014,Alex Neil,Stoke City
2014,Carlos Corberán,West Bromwich Albion
2014,Unai Emery,Aston Villa
2014,Liam Rosenior,Hull City
2014,David Wagner,Norwich City
2014,Sean Dyche,Everton FC
2014,Roy Hodgson,Crystal Palace
2014,Ange Postecoglou,Tottenham Hotspur
2014,Russell Martin,Southampton FC
2014,Erol Bulut,Cardiff City
2014,Mauricio Pochettino,Chelsea FC
2014,Alan Sheehan,Swansea City
2014,Mike Dodds,Sunderland AFC
2015,Jürgen Klopp,Liverpool FC
2015,Pep Guardiola,Manchester City
2015,Mikel Arteta,Arsenal FC
2015,David Moyes,West Ham United
2015,Eddie Howe,Newcastle United
2015,Erik ten Hag,Manchester United
2015,Vincent Kompany,Burnley FC
2015,Alex Neil,Stoke City
2015,Carlos Corberán,West Bromwich Albion
2015,Unai Emery,Aston Villa
2015,Liam Rosenior,Hull City
2015,Sean Dyche,Everton FC
2015,Roy Hodgson,Crystal Palace
2015,Russell Martin,Southampton FC
2015,Ange Postecoglou,Tottenham Hotspur
2015,Mauricio Pochettino,Chelsea FC
2015,Enzo Maresca,Leicester City
2015,Martí Cifuentes,Queens Park Rangers
2015,Mike Dodds,Sunderland AFC
2015,Alan Sheehan,Swansea City
2016,Jürgen Klopp,Liverpool FC
2016,Pep Guardiola,Manchester City
2016,Mikel Arteta,Arsenal FC
2016,David Moyes,West Ham United
2016,Eddie Howe,Newcastle United
2016,Erik ten Hag,Manchester United
2016,Alex Neil,Stoke City
2016,Carlos Corberán,West Bromwich Albion
2016,Unai Emery,Aston Villa
2016,David Wagner,Norwich City
2016,Sean Dyche,Everton FC
2016,Roy Hodgson,Crystal Palace
2016,Mauricio Pochettino,Chelsea FC
2016,Andoni Iraola,AFC Bournemouth
2016,Valérien Ismaël,Watford FC
2016,Ange Postecoglou,Tottenham Hotspur
2016,Russell Martin,Southampton FC
2016,Enzo Maresca,Leicester City
2016,Mike Dodds,Sunderland AFC
2016,Alan Sheehan,Swansea City
2017,Jürgen Klopp,Liverpool FC
2017,Pep Guardiola,Manchester City
2017,Mikel Arteta,Arsenal FC
2017,David Moyes,West Ham United
2017,Vincent Kompany,Burnley FC
2017,Erik ten Hag,Manchester United
2017,Alex Neil,Stoke City
2017,Michael Carrick,Middlesbrough FC
2017,Carlos Corberán,West Bromwich Albion
2017,Liam Rosenior,Hull City
2017,Sean Dyche,Everton FC
2017,Roy Hodgson,Crystal Palace
2017,Andoni Iraola,AFC Bournemouth
2017,Enzo Maresca,Leicester City
2017,Ange Postecoglou,Tottenham Hotspur
2017,Russell Martin,Southampton FC
2017,Mauricio Pochettino,Chelsea FC
2017,Valérien Ismaël,Watford FC
2017,Mike Dodds,Sunderland AFC
2017,Alan Sheehan,Swansea City
2018,Jürgen Klopp,Liverpool FC
2018,Pep Guardiola,Manchester City
2018,Mikel Arteta,Arsenal FC
2018,David Moyes,West Ham United
2018,Eddie Howe,Newcastle United
2018,Vincent Kompany,Burnley FC
2018,Erik ten Hag,Manchester United
2018,Alex Neil,Stoke City
2018,Roberto De Zerbi,Brighton & Hove Albion
2018,Carlos Corberán,West Bromwich Albion
2018,Sean Dyche,Everton FC
2018,Roy Hodgson,Crystal Palace
2018,Russell Martin,Southampton FC
2018,Andoni Iraola,AFC Bournemouth
2018,Enzo Maresca,Leicester City
2018,Mauricio Pochettino,Chelsea FC
2018,Valérien Ismaël,Watford FC
2018,Ange Postecoglou,Tottenham Hotspur
2018,Darren Moore,Huddersfield Town
2018,Alan Sheehan,Swansea City
2019,Jürgen Klopp,Liverpool FC
2019,Pep Guardiola,Manchester City
2019,Mikel Arteta,Arsenal FC
2019,David Moyes,West Ham United
2019,Marco Silva,Fulham FC
2019,Eddie Howe,Newcastle United
2019,Vincent Kompany,Burnley FC
2019,Erik ten Hag,Manchester United
2019,Roberto De Zerbi,Brighton & Hove Albion
2019,Sean Dyche,Everton FC
2019,Roy Hodgson,Crystal Palace
2019,Ange Postecoglou,Tottenham Hotspur
2019,Russell Martin,Southampton FC
2019,Erol Bulut,Cardiff City
2019,Mauricio Pochettino,Chelsea FC
2019,Andoni Iraola,AFC Bournemouth
2019,Enzo Maresca,Leicester City
2019,Valérien Ismaël,Watford FC
2019,Gary O'Neil,Wolverhampton Wanderers
2019,Darren Moore,Huddersfield Town
2020,Jürgen Klopp,Liverpool FC
2020,Pep Guardiola,Manchester City
2020,Mikel Arteta,Arsenal FC
2020,David Moyes,West Ham United
2020,Eddie Howe,Newcastle United
2020,Vincent Kompany,Burnley FC
2020,Erik ten Hag,Manchester United
2020,Roberto De Zerbi,Brighton & Hove Albion
2020,Unai Emery,Aston Villa
2020,David Wagner,Norwich City
2020,Sean Dyche,Everton FC
2020,Roy Hodgson,Crystal Palace
2020,Andoni Iraola,AFC Bournemouth
2020,Russell Martin,Southampton FC
2020,Mauricio Pochettino,Chelsea FC
2020,Ange Postecoglou,Tottenham Hotspur
2020,Enzo Maresca,Leicester City
2020,Valérien Ismaël,Watford FC
2020,Gary O'Neil,Wolverhampton Wanderers
2020,Chris Wilder,Sheffield United
2021,Jürgen Klopp,Liverpool FC
2021,Pep Guardiola,Manchester City
2021,Mikel Arteta,Arsenal FC
2021,David Moyes,West Ham United
2021,Marco Silva,Fulham FC
2021,Eddie Howe,Newcastle United
2021,Erik ten Hag,Manchester United
2021,Vincent Kompany,Burnley FC
2021,Roberto De Zerbi,Brighton & Hove Albion
2021,Carlos Corberán,West Bromwich Albion
2021,Unai Emery,Aston Villa
2021,Sean Dyche,Everton FC
2021,Roy Hodgson,Crystal Palace
2021,Enzo Maresca,Leicester City
2021,Ange Postecoglou,Tottenham Hotspur
2021,Russell Martin,Southampton FC
2021,Mauricio Pochettino,Chelsea FC
2021,Daniel Farke,Leeds United
2021,Gary O'Neil,Wolverhampton Wanderers
2021,Chris Wilder,Sheffield United
2022,Jürgen Klopp,Liverpool FC
2022,Pep Guardiola,Manchester City
2022,Thomas Frank,Brentford FC
2022,Mikel Arteta,Arsenal FC
2022,David Moyes,West Ham United
2022,Eddie Howe,Newcastle United
2022,Vincent Kompany,Burnley FC
2022,Erik ten Hag,Manchester United
2022,Roberto De Zerbi,Brighton & Hove Albion
2022,Unai Emery,Aston Villa
2022,David Wagner,Norwich City
2022,Sean Dyche,Everton FC
2022,Roy Hodgson,Crystal Palace
2022,Enzo Maresca,Leicester City
2022,Valérien Ismaël,Watford FC
2022,Ange Postecoglou,Tottenham Hotspur
2022,Russell Martin,Southampton FC
2022,Mauricio Pochettino,Chelsea FC
2022,Daniel Farke,Leeds United
2022,Gary O'Neil,Wolverhampton Wanderers
2023,Jürgen Klopp,Liverpool FC
2023,Pep Guardiola,Manchester City
2023,Thomas Frank,Brentford FC
2023,Mikel Arteta,Arsenal FC
2023,David Moyes,West Ham United
2023,Marco Silva,Fulham FC
2023,Steve Cooper,Nottingham Forest
2023,Eddie Howe,Newcastle United
2023,Erik ten Hag,Manchester United
2023,Roberto De Zerbi,Brighton & Hove Albion
2023,Unai Emery,Aston Villa
2023,Sean Dyche,Everton FC
2023,Roy Hodgson,Crystal Palace
2023,Mauricio Pochettino,Chelsea FC
2023,Andoni Iraola,AFC Bournemouth
2023,Enzo Maresca,Leicester City
2023,Ange Postecoglou,Tottenham Hotspur
2023,Russell Martin,Southampton FC
2023,Daniel Farke,Leeds United
2023,Gary O'Neil,Wolverhampton Wanderers
2024,Jürgen Klopp,Liverpool FC
2024,Pep Guardiola,Manchester City
2024,Thomas Frank,Brentford FC
2024,Mikel Arteta,Arsenal FC
2024,David Moyes,West Ham United
2024,Marco Silva,Fulham FC
2024,Steve Cooper,Nottingham Forest
2024,Eddie Howe,Newcastle United
2024,Vincent Kompany,Burnley FC
2024,Erik ten Hag,Manchester United
2024,Roberto De Zerbi,Brighton & Hove Albion
2024,Unai Emery,Aston Villa
2024,Rob Edwards,Luton Town
2024,Sean Dyche,Everton FC
2024,Roy Hodgson,Crystal Palace
2024,Andoni Iraola,AFC Bournemouth
2024,Ange Postecoglou,Tottenham Hotspur
2024,Mauricio Pochettino,Chelsea FC
2024,Gary O'Neil,Wolverhampton Wanderers
2024,Chris Wilder,Sheffield United
